competency_id,qp_code,nos_code,nos_title,competency_text,knowledge_text,performance_text,source_id,source_url,evidence_type,observed_or_derived,confidence,notes
COMP_001,ASC/Q3501,ASC/N3501,Carry out pre-machining activities,Assist in preparing machine and workpiece for machining,Understanding of engineering drawings and work instructions,Ensure machine is set up correctly before operations,SRC_001,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_002,ASC/Q3501,ASC/N3502,Perform machining operations,Operate CNC machine to machine parts as per specifications,Knowledge of CNC programming and cutting tools,Complete machining within tolerance and time,SRC_001,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_003,ASC/Q3501,ASC/N3503,Carry out post-machining activities,Perform minor machine maintenance and quality checks,Knowledge of measuring instruments and maintenance procedures,Check finished parts for quality and clean machine,SRC_001,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_004,PWD/CON/Q0602,CON/N0602,Handle hand and power tools,Select and use hand/power tools for electrical works,Knowledge of tools and safety procedures,Use tools safely and efficiently,SRC_003,https://nsdcindia.org/sites/default/files/PWD_CON-Q0602_Assistant-Electrician_15_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_005,PWD/CON/Q0602,CON/N0603,Install temporary lighting arrangement,Install temporary lighting for construction activities,Knowledge of electrical circuits and safety,Install lighting as per requirements,SRC_003,https://nsdcindia.org/sites/default/files/PWD_CON-Q0602_Assistant-Electrician_15_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_006,MIN/Q0304,MIN/N0309,Perform preventive maintenance,Conduct preventive maintenance of machinery,Knowledge of lubricants and maintenance schedules,Identify and fix potential issues,SRC_004,https://nsdcindia.org/sites/default/files/MC_MIN-Q0304_Mining---Mechanic-Fitter_0.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,MEDIUM,
COMP_007,CON/Q1252,CON/N1206,Carry out grinding activities,Perform grinding on structural steel elements,Knowledge of grinding tools and safety,Grind surfaces as per specifications,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_008,CON/Q1252,CON/N1251,Perform tack welding operations,Perform tack welding on structural steel,Knowledge of welding techniques,Complete tack welds as per requirements,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_009,CON/Q1252,CON/N1253,Carry out MIG welding operations,Perform MIG welding on ferrous materials,Knowledge of MIG welding parameters,Complete MIG welds in specified positions,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_010,SGJ/Q0601,SGJ/N0602,Install and commission solar water heater,Install solar water heater components,Knowledge of solar thermal systems,Commission system and test functionality,SRC_006,https://www.nsdcindia.org/sites/default/files/QP_SGJ-Q0601_Solar_Domestic_Water_Heater_Technician.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_011,SGJ/Q0601,SGJ/N0603,Maintain solar water heater,Perform maintenance on solar water heater,Knowledge of maintenance procedures,Identify and fix faults,SRC_006,https://www.nsdcindia.org/sites/default/files/QP_SGJ-Q0601_Solar_Domestic_Water_Heater_Technician.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
COMP_012,PWD/BWS/Q0102,BWS/N0104,Perform skin care services,Provide facial and skin care treatments,Knowledge of skin types and products,Deliver treatments as per client needs,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,PERFORMANCE_REQUIREMENT,OBSERVED,HIGH,
